id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,Wojciec59832415,Nawet Giertych mówiąc prezydent zaprzysiężony i po sprawie się myli. Konstytucja nakazuje orzeczenie ważność wyborów jeżeli go nie ma zgodnie z wyrokiem Izby Pracy wybory nieważne trzeba więc je powtórzyć. Uważam że Tusk bez problemu zostanie wybrany na prezydenta.,0,0,0,0,25-09-25,265,39,,https://nitter.net/Wojciec59832415/status/1971294201250971787#m
2,Wojciec59832415,Nawet Giertych mówiąc prezydent zaprzysiężony i po sprawie się myli. Konstytucja nakazuje orzeczenie ważność wyborów jeżeli go nie ma zgodnie z wyrokiem Izby Pracy wybory nieważne trzeba więc je powtórzyć. Uważam że Tusk bez problemu zostanie wybrany na prezydenta.,0,0,0,0,25-09-25,265,39,,https://nitter.net/Wojciec59832415/status/1971294096179462396#m
3,Wojciec59832415,Nawet Giertych mówiąc prezydent zaprzysiężony i po sprawie się myli. Konstytucja nakazuje orzeczenie ważność wyborów jeżeli go nie ma zgodnie z wyrokiem Izby Pracy wybory nieważne trzeba więc je powtórzyć. Uważam że Tusk bez problemu zostanie wybrany na prezydenta.,0,1,0,1,25-09-25,265,39,,https://nitter.net/Wojciec59832415/status/1971293768214360143#m
4,Wojciec59832415,Nawet Giertych mówiąc prezydent zaprzysiężony i po sprawie się myli. Konstytucja nakazuje orzeczenie ważność wyborów jeżeli go nie ma zgodnie z wyrokiem Izby Pracy wybory nieważne trzeba więc je powtórzyć. Uważam że Tusk bez problemu zostanie wybrany na prezydenta.,0,0,0,0,25-09-25,265,39,,https://nitter.net/Wojciec59832415/status/1971294018035478570#m
5,AwAdamiak,Konferencja Hołownia. Zapytam ja bo dziennikarze nie pytają. Zaprzysiągł Pan Nawrockiego na prezydenta nie wiedząc ile dostał głosów. Dlaczego? I drugie pytanie. Czy odbyły się kiedykolwiek w Polsce a nawet w świecie wybory w których podano kto wygrał nie podając wyniku?,16,472,169,657,24-09-25,271,41,,https://nitter.net/AwAdamiak/status/1970817801322680515#m
6,Wojciec59832415,Nawet Giertych mówiąc prezydent zaprzysiężony i po sprawie się myli. Konstytucja nakazuje orzeczenie ważność wyborów jeżeli go nie ma zgodnie z wyrokiem Izby Pracy wybory nieważne trzeba więc je powtórzyć. Uważam że Tusk bez problemu zostanie wybrany na prezydenta.,0,0,0,0,25-09-25,265,39,,https://nitter.net/Wojciec59832415/status/1971293964990021779#m
7,TenPolityk,Kto powinien być prezydentem Warszawy? #sonda #wybory,0,14,1,15,25-09-25,53,7,,https://nitter.net/TenPolityk/status/1971128775598539025#m
8,JanMolskiIII,"W związku z dzisiejszą decyzją Izby Pracy Sądu Najwyższego chciałbym poinformować, że wybory z roku 2023 są nieważne, podobnie jak dymisja rządu Mateusza Morawieckiego oraz powołanie na urząd Premiera Donalda Tuska. Oznacza to, że Mateusz Morawiecki wciąż pozostaje legalnie urzędującym Prezesem Rady Ministrów, natomiast Donald Tusk jest uzurpatorem, który w świetle prawa przestaje być legalnym szefem rządu. Wszystkie jego dotychczasowe działania i decyzje (licząc od 13 grudnia) tracą moc prawną. Donald Tusk nie jest moim Premierem, a wybory z roku 2023 trzeba natychmiast powtórzyć! Dobranoc.",16,515,217,748,24-09-25,598,85,,https://nitter.net/JanMolskiIII/status/1970952124205797666#m
9,Wojciec59832415,Nawet Giertych mówiąc prezydent zaprzysiężony i po sprawie się myli. Konstytucja nakazuje orzeczenie ważność wyborów jeżeli go nie ma zgodnie z wyrokiem Izby Pracy wybory nieważne trzeba więc je powtórzyć. Uważam że Tusk bez problemu zostanie wybrany na prezydenta.,0,0,0,0,25-09-25,265,39,,https://nitter.net/Wojciec59832415/status/1971293883473821835#m
10,Wojciec59832415,Nawet Giertych mówiąc prezydent zaprzysiężony i po sprawie się myli. Konstytucja nakazuje orzeczenie ważność wyborów jeżeli go nie ma zgodnie z wyrokiem Izby Pracy wybory nieważne trzeba więc je powtórzyć. Uważam że Tusk bez problemu zostanie wybrany na prezydenta.,0,0,0,0,25-09-25,265,39,,https://nitter.net/Wojciec59832415/status/1971293835314774183#m
